Epic,Type,Summary,StoryPoints,Labels,Component,Status,Phase,Description
,에픽,E1 공개 사이트,,,frontend,진행중,S1,FR-PUB 10건 · 공개 열람 영역과 그 백엔드 API
,에픽,E2 인증·회원,,,backend,진행중,S2,FR-AUTH 11건 + FR-MEM 3건 · 명단 대조 기반 v1.3 인증
,에픽,E3 주보,,,frontend,진행중,S3,FR-BUL 6건 · 회원 열람 + 임원 업로드
,에픽,E4 사진첩,,,backend,진행중,S3,FR-PHO 10건 · 브라우저→R2 직접 업로드 파이프라인 포함
,에픽,E5 월례회 자료,,,backend,대기,S4,FR-MTG 9건 · PDF→이미지 변환과 열람 기간 제한
,에픽,E6 게시판·문서,,,backend,대기,S4,FR-DOC 6건 · 리치텍스트·회의록·예산안·첨부
,에픽,E7 출석부,,,backend,대기,S4,FR-ATT · 명단(roster) 기반 출결 체크
,에픽,E8 관리·회원운영,,,backend,대기,S4,FR-ADM 8건 · 회원 관리·역할·새가족 내역
,에픽,E9 인프라·배포·CI,,,infra,진행중,S1,Vercel·Render·Neon·R2·Actions·Jenkins
,에픽,E10 품질·보안·오픈,,,docs,대기,S5,인가 매트릭스·성능·접근성·PWA·개인정보·정식 오픈
E1 공개 사이트,작업,[FE] 홈 Hero — LIGHT 아크로스틱·예배시간·CTA 2개,3,,frontend,완료,S0,FR-PUB-01 Hero 블록
E1 공개 사이트,작업,[FE] 홈 — 이번주 공지 블록 API 연동,3,,frontend,완료,S0,클라이언트 페치 · 서버 컴포넌트에서 호출하면 정적 생성이 멈춘다
E1 공개 사이트,작업,[FE] 홈 — 최근 말씀 블록,2,,frontend,완료,S0,RecentSermon · YouTube 최신 1편
E1 공개 사이트,작업,[FE] 홈 — 갤러리 미리보기 블록,2,,frontend,완료,S0,앨범 최근 사진 미리보기
E1 공개 사이트,작업,[FE] 홈 — 모임안내·처음오시나요 블록,2,,frontend,완료,S0,FR-PUB-01 하단 섹션
E1 공개 사이트,작업,[FE] 랜딩 클릭 게이트 — 신규/기존 분기,3,,frontend,완료,S0,/ 진입 시 단체사진 게이트 → /welcome 또는 /login
E1 공개 사이트,작업,[FE] /welcome 처음 오시는 분,5,,frontend,완료,S0,FR-PUB-02 길찾기·주일 타임라인·FAQ 아코디언
E1 공개 사이트,작업,[FE] /about 소개,3,,frontend,완료,S0,FR-PUB-03 아크로스틱·표어 성구·섬기는 사람들
E1 공개 사이트,작업,[FE] /worship 예배와 모임 4섹션,3,,frontend,완료,S0,FR-PUB-04 청년예배·마을모임·금요기도회·본당
E1 공개 사이트,작업,[FE] /location 오시는 길,3,,frontend,완료,S0,FR-PUB-05 약도 2장·외부 지도앱 링크·주차 안내
E1 공개 사이트,작업,[FE] /news 공개 공지 목록,3,,frontend,완료,S0,FR-PUB-06 상단고정 우선 → 최신순
E1 공개 사이트,작업,[FE] /news/[slug] 공지 상세,2,,frontend,완료,S0,FR-PUB-07 제목·작성일·본문·첨부
E1 공개 사이트,작업,[FE] /welcome/register 새가족 등록 폼,5,,frontend,완료,S0,FR-PUB-08 필수/선택 항목 + 개인정보 동의
E1 공개 사이트,작업,[FE] /sermons 라이브 우선 구성,3,,frontend,완료,S0,FR-PUB-09 주일 라이브 → 최근 말씀
E1 공개 사이트,작업,[FE] /sermons/all 지난 말씀 무한 스크롤,3,,frontend,완료,S0,useInfiniteQuery · 한 행 4개
E1 공개 사이트,작업,[FE] /contact 문의,2,,frontend,완료,S0,사무실 전화 · 터치 타겟 44px
E1 공개 사이트,작업,[FE] SEO — 메타·OG·sitemap·robots·JSON-LD,3,,frontend,완료,S0,FR-PUB-10 Church/Event 스키마
